DBInstanceIdentifier,DBInstanceClass,Engine,DBInstanceStatus,MasterUsername,DBName,AllocatedStorage,InstanceCreateTime,PreferredBackupWindow,BackupRetentionPeriod,DBSecurityGroups,VpcSecurityGroups,DBParameterGroups,AvailabilityZone,PreferredMaintenanceWindow,MultiAZ,EngineVersion,AutoMinorVersionUpgrade,ReadReplicaDBInstanceIdentifiers,LicenseModel,OptionGroupMemberships,PubliclyAccessible,StorageType,DbInstancePort,DBClusterIdentifier,StorageEncrypted,KmsKeyId,DbiResourceId,CACertificateIdentifier,DomainMemberships,CopyTagsToSnapshot,MonitoringInterval,EnhancedMonitoringResourceArn,MonitoringRoleArn,PromotionTier,DBInstanceArn,IAMDatabaseAuthenticationEnabled,PerformanceInsightsEnabled,PerformanceInsightsKMSKeyId,PerformanceInsightsRetentionPeriod,EnabledCloudwatchLogsExports,DeletionProtection,AssociatedRoles,TagList,CustomerOwnedIpEnabled,BackupTarget,Endpoint.Address,Endpoint.Port,Endpoint.HostedZoneId,DBSubnetGroup.DBSubnetGroupName,DBSubnetGroup.DBSubnetGroupDescription,DBSubnetGroup.VpcId,DBSubnetGroup.SubnetGroupStatus,DBSubnetGroup.Subnets,LatestRestorableTime,SecondaryAvailabilityZone,MaxAllocatedStorage,ActivityStreamStatus,ReadReplicaSourceDBInstanceIdentifier,StatusInfos,Iops
accounting-prod-0,db.r6g.8xlarge,aurora-mysql,available,gds_admin,accounting_service_production,1,2021-07-16 08:14:28.307000+00:00,10:04-10:34,35,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-aurora-mysql57-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1a,sun:09:06-sun:09:36,False,5.7.mysql_aurora.2.10.1,False,[],general-public-license,"[{'OptionGroupName': 'default:aurora-mysql-5-7', 'Status': 'in-sync'}]",False,aurora,0,accounting-prod,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,db-TQJXHC2L3W3J6OY37Z7ASVZOOY,rds-ca-2019,[],False,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-TQJXHC2L3W3J6OY37Z7ASVZOOY,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,0.0,arn:aws:rds:us-west-1:497256801702:db:accounting-prod-0,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,['slowquery'],False,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/fed'}, {'Key': 'TenantTeam', 'Value': 'fed@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'fed'}, {'Key': 'environment', 'Value': 'accounting-prod'}, {'Key': 'Service', 'Value': 'daas_mysql'}, {'Key': 'jira', 'Value': 'GDS-30233'}]",False,region,accounting-prod-0.czlsgz0xic0p.us-west-1.rds.amazonaws.com,3306,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",NaT,nan,nan,nan,nan,nan,nan
accounting-prod-1,db.r6g.8xlarge,aurora-mysql,available,gds_admin,accounting_service_production,1,2021-07-16 08:04:02.535000+00:00,10:04-10:34,35,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-aurora-mysql57-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1c,tue:12:22-tue:12:52,False,5.7.mysql_aurora.2.10.1,False,[],general-public-license,"[{'OptionGroupName': 'default:aurora-mysql-5-7', 'Status': 'in-sync'}]",False,aurora,0,accounting-prod,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,db-CYMPHH52ENLUXB46C5C7UGZ6IQ,rds-ca-2019,[],False,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-CYMPHH52ENLUXB46C5C7UGZ6IQ,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,0.0,arn:aws:rds:us-west-1:497256801702:db:accounting-prod-1,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,['slowquery'],False,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/fed'}, {'Key': 'TenantTeam', 'Value': 'fed@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'fed'}, {'Key': 'environment', 'Value': 'accounting-prod'}, {'Key': 'Service', 'Value': 'daas_mysql'}, {'Key': 'jira', 'Value': 'GDS-30233'}]",False,region,accounting-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com,3306,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",NaT,nan,nan,nan,nan,nan,nan
activiti-snc1-prod,db.r5.large,postgres,available,gds_admin,activiti_snc1_prod,50,2021-05-19 09:31:17.955000+00:00,03:00-06:00,35,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1a,mon:00:00-mon:03:00,True,11.15,False,['activiti-snc1-prod-1'],postgresql-license,"[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]",False,gp2,0,nan,False,nan,db-S25E3A4TLSWJOTL2DVNTEBMT2A,rds-ca-2019,[],True,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-S25E3A4TLSWJOTL2DVNTEBMT2A,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,nan,arn:aws:rds:us-west-1:497256801702:db:activiti-snc1-prod,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,nan,True,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/conveyor'}, {'Key': 'TenantTeam', 'Value': 'conveyor-team@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'conveyor'}, {'Key': 'environment', 'Value': 'activiti-snc1-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-29584'}]",False,region,activiti-snc1-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com,5432,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",2022-06-27 13:29:30+00:00,us-west-1c,1000.0,stopped,nan,nan,nan
activiti-snc1-prod-1,db.r5.large,postgres,available,gds_admin,activiti_snc1_prod,50,2021-05-19 09:49:46.663000+00:00,03:00-06:00,0,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1c,mon:00:00-mon:03:00,True,11.15,False,[],postgresql-license,"[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]",False,gp2,0,nan,False,nan,db-PR7PPDKZ7C35I5NAZZA3U4EJBU,rds-ca-2019,[],True,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-PR7PPDKZ7C35I5NAZZA3U4EJBU,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,nan,arn:aws:rds:us-west-1:497256801702:db:activiti-snc1-prod-1,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,nan,True,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/conveyor'}, {'Key': 'TenantTeam', 'Value': 'conveyor-team@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'conveyor'}, {'Key': 'environment', 'Value': 'activiti-snc1-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-29584'}]",False,region,activiti-snc1-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com,5432,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",NaT,us-west-1a,1000.0,stopped,activiti-snc1-prod,"[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]",nan
ada-prod,db.r5.large,postgres,available,gds_admin,ada_prod,500,2021-12-09 21:54:09.045000+00:00,03:00-06:00,35,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1a,mon:00:00-mon:03:00,True,11.15,False,['ada-prod-1'],postgresql-license,"[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]",False,gp2,0,nan,False,nan,db-MIQJM4X7MM2JNGJQ3BM6JWXNVA,rds-ca-2019,[],True,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-MIQJM4X7MM2JNGJQ3BM6JWXNVA,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,nan,arn:aws:rds:us-west-1:497256801702:db:ada-prod,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,nan,True,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/ada'}, {'Key': 'TenantTeam', 'Value': 'emerging-channels@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'ada'}, {'Key': 'environment', 'Value': 'ada-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32094'}]",False,region,ada-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com,5432,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",2022-06-27 13:29:30+00:00,us-west-1c,1000.0,stopped,nan,nan,nan
ada-prod-1,db.r5.large,postgres,available,gds_admin,ada_prod,500,2021-12-09 22:13:08.614000+00:00,03:00-06:00,0,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1c,mon:00:00-mon:03:00,True,11.15,False,[],postgresql-license,"[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]",False,gp2,0,nan,False,nan,db-QR5QTW5QERVMXZLPPSYNZJ2YJQ,rds-ca-2019,[],True,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-QR5QTW5QERVMXZLPPSYNZJ2YJQ,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,nan,arn:aws:rds:us-west-1:497256801702:db:ada-prod-1,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,nan,True,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/ada'}, {'Key': 'TenantTeam', 'Value': 'emerging-channels@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'ada'}, {'Key': 'environment', 'Value': 'ada-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32094'}]",False,region,ada-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com,5432,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",NaT,us-west-1a,1000.0,stopped,ada-prod,"[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]",nan
ad-inv-serv-archive-prod-0,db.r6g.xlarge,aurora-mysql,available,gds_admin,ad_inv_serv_prod,1,2022-02-07 17:09:58.434000+00:00,13:05-13:35,35,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-aurora-mysql57-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1a,sun:07:29-sun:07:59,False,5.7.mysql_aurora.2.10.1,False,[],general-public-license,"[{'OptionGroupName': 'default:aurora-mysql-5-7', 'Status': 'in-sync'}]",False,aurora,0,ad-inv-serv-archive-prod,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,db-FGPEVJ6IH3EVPEONGFQ5TDAGLY,rds-ca-2019,[],False,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-FGPEVJ6IH3EVPEONGFQ5TDAGLY,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,0.0,arn:aws:rds:us-west-1:497256801702:db:ad-inv-serv-archive-prod-0,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,['slowquery'],False,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/ad-inventory'}, {'Key': 'TenantTeam', 'Value': 'ads-eng@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'ad-inventory'}, {'Key': 'environment', 'Value': 'ad-inv-serv-archive-prod'}, {'Key': 'Service', 'Value': 'daas_mysql'}, {'Key': 'jira', 'Value': 'GDS-32598'}]",False,region,ad-inv-serv-archive-prod-0.czlsgz0xic0p.us-west-1.rds.amazonaws.com,3306,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",NaT,nan,nan,nan,nan,nan,nan
ad-inv-serv-archive-prod-1,db.r6g.xlarge,aurora-mysql,available,gds_admin,ad_inv_serv_prod,1,2022-02-07 17:01:13.349000+00:00,13:05-13:35,35,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-aurora-mysql57-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1c,mon:07:48-mon:08:18,False,5.7.mysql_aurora.2.10.1,False,[],general-public-license,"[{'OptionGroupName': 'default:aurora-mysql-5-7', 'Status': 'in-sync'}]",False,aurora,0,ad-inv-serv-archive-prod,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,db-72I3LMS24XBG7P5JWBCMVHI5XQ,rds-ca-2019,[],False,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-72I3LMS24XBG7P5JWBCMVHI5XQ,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,0.0,arn:aws:rds:us-west-1:497256801702:db:ad-inv-serv-archive-prod-1,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,['slowquery'],False,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/ad-inventory'}, {'Key': 'TenantTeam', 'Value': 'ads-eng@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'ad-inventory'}, {'Key': 'environment', 'Value': 'ad-inv-serv-archive-prod'}, {'Key': 'Service', 'Value': 'daas_mysql'}, {'Key': 'jira', 'Value': 'GDS-32598'}]",False,region,ad-inv-serv-archive-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com,3306,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",NaT,nan,nan,nan,nan,nan,nan
ad-inv-serv-prod-0,db.r6g.4xlarge,aurora-mysql,available,gds_admin,ad_inv_serv_prod,1,2021-06-02 07:37:51.652000+00:00,13:07-13:37,35,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-aurora-mysql57-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1a,sun:12:56-sun:13:26,False,5.7.mysql_aurora.2.10.1,False,[],general-public-license,"[{'OptionGroupName': 'default:aurora-mysql-5-7', 'Status': 'in-sync'}]",False,aurora,0,ad-inv-serv-prod,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,db-V24VFNDLBN7ZGIVWOHDVVZLV7A,rds-ca-2019,[],False,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-V24VFNDLBN7ZGIVWOHDVVZLV7A,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,0.0,arn:aws:rds:us-west-1:497256801702:db:ad-inv-serv-prod-0,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,['slowquery'],False,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/ad-inventory'}, {'Key': 'TenantTeam', 'Value': 'ads-eng@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'ad-inventory'}, {'Key': 'environment', 'Value': 'ad-inv-serv-prod'}, {'Key': 'Service', 'Value': 'daas_mysql'}, {'Key': 'jira', 'Value': 'GDS-29736'}]",False,region,ad-inv-serv-prod-0.czlsgz0xic0p.us-west-1.rds.amazonaws.com,3306,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",NaT,nan,nan,nan,nan,nan,nan
ad-inv-serv-prod-1,db.r6g.4xlarge,aurora-mysql,available,gds_admin,ad_inv_serv_prod,1,2021-06-02 07:46:17.439000+00:00,13:07-13:37,35,[],"[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]","[{'DBParameterGroupName': 'ipg-aurora-mysql57-small', 'ParameterApplyStatus': 'in-sync'}]",us-west-1c,fri:08:03-fri:08:33,False,5.7.mysql_aurora.2.10.1,False,[],general-public-license,"[{'OptionGroupName': 'default:aurora-mysql-5-7', 'Status': 'in-sync'}]",False,aurora,0,ad-inv-serv-prod,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,db-NB74XMKIRPPKHGC5LZZAG2GHYE,rds-ca-2019,[],False,5,arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-NB74XMKIRPPKHGC5LZZAG2GHYE,arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring,0.0,arn:aws:rds:us-west-1:497256801702:db:ad-inv-serv-prod-1,False,True,arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6,7.0,['slowquery'],False,[],"[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/ad-inventory'}, {'Key': 'TenantTeam', 'Value': 'ads-eng@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'ad-inventory'}, {'Key': 'environment', 'Value': 'ad-inv-serv-prod'}, {'Key': 'Service', 'Value': 'daas_mysql'}, {'Key': 'jira', 'Value': 'GDS-29736'}]",False,region,ad-inv-serv-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com,3306,Z10WI91S59XXQN,sgroup-1,Managed by Terraform,vpc-0a38df8f4ac2b624c,Complete,"[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]",NaT,nan,nan,nan,nan,nan,nan
