hostid	engine	Original JIRA	Core/Non-Core	Service Portal	DB_instance	Size	Blocker	Excelformula for pkmissing sheet	On-premise IP-RW	 DB VIP - RW	RDS VIP - RW	On-premise IP-RO	 DB VIP - RO	RDS VIP - RO	Region replica	jira	Expected Date	In Progress	Route53 RW Endpoint	Route53 RO Endpoint	Notes	Encrypted	hostid_dbname
gds_prod_snc1_dbl001	postgresql	GDS-7754	Non-Core	goods_commerce_interface	ci_datamart		PK Missing	Yes	10.30.24.192	gds-snc1-prod-datamart-rw-vip.snc1		10.30.25.192	gds-snc1-prod-datamart-ro-vip.snc1					Decommissioned			This may not in SNC		gds_prod_snc1_dbl001ci_datamart
gds_prod_snc1_db001	mysql	GDS-536	Non-Core		mission_control_prod	4.1 GB		#N/A	10.30.16.16	gds-snc1-prod-mission-control-rw-vip.snc1		10.30.17.16	gds-snc1-prod-mission-control-ro-vip.snc1	NA		GDS-30859		Decommissioned	NA	NA	can still see entires in yml file		gds_prod_snc1_db001mission_control_prod
gds_prod_snc1_db001	mysql	GDS-648	Core	client-id	client_id_prod	20.9 MB		#N/A	10.30.16.21	gds-snc1-prod-client-id-rw-vip.snc1	gds-client-id-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.21	gds-snc1-prod-client-id-ro-vip.snc1	gds-client-id-prod-ro.prod.us-west-1.aws.groupondev.com	Yes	GDS-19998	2020-Q3	Migrated					gds_prod_snc1_db001client_id_prod
gds_prod_snc1_db001	mysql	GDS-1153	Core	testrail	testrail_prod	2443.1 GB		#N/A	10.30.16.59	gds-snc1-prod-testrail-rw-vip.snc1	gds-testrail-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.59	gds-snc1-prod-testrail-ro-vip.snc1	gds-testrail-prod-ro.prod.us-west-1.aws.groupondev.com	No	GDS-28576		Migrated			Onprem needs to be decommissioned		gds_prod_snc1_db001testrail_prod
gds_prod_snc1_db001	mysql	GDS-260	Core		cs_tools_prod			#N/A	10.30.16.17	gds-snc1-prod-cs-tools-rw-vip.snc1	dedicated	10.30.17.17	gds-snc1-prod-cs-tools-ro-vip.snc1			GDS-28667		Decommissioned			"DB is down since Jan, so cancelled"		gds_prod_snc1_db001cs_tools_prod
gds_prod_snc1_db001	mysql	GDS-826 # __SOX__	Core	grouponlive-checkout	glive_gia_prod	9.1 GB		#N/A	10.30.16.24	gds-snc1-prod-glive-gia-rw-vip.snc1	gds-glive-gia-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.24	gds-snc1-prod-glive-gia-ro-vip.snc1	gds-glive-gia-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28665		Migrated			Completed and directed to AWS. But can still see entires in yml file		gds_prod_snc1_db001glive_gia_prod
gds_prod_snc1_db001	mysql	GDS-1191	Core	online_booking_notifications	booking_notify_prod	9.7 GB		#N/A	10.30.16.66	gds-snc1-prod-booking-notify-rw-vip.snc1	gds-booking-notify-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.66	gds-snc1-prod-booking-notify-ro-vip.snc1	gds-booking-notify-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28666		Migrated			Completed and directed to AWS		gds_prod_snc1_db001booking_notify_prod
gds_prod_snc1_db001	mysql	GDS-931	Non-Core		scamtracker_prod	5.5 GB		#N/A	10.30.16.34	gds-snc1-prod-scamtracker-rw-vip.snc1		10.30.17.34	gds-snc1-prod-scamtracker-ro-vip.snc1					Decommissioned			unable to find instance or GDS ticket for it. Nor any entry in yml file but available in role file		gds_prod_snc1_db001scamtracker_prod
gds_prod_snc1_db001	mysql	GDS-1247	Non-Core		getaways_torch_prod	281.2 GB		#N/A	10.30.16.63	gds-snc1-prod-getaways-torch-rw-vip.snc1		10.30.17.63	gds-snc1-prod-getaways-torch-ro-vip.snc1					Decommissioned			unable to find instance or GDS ticket for it. Nor any entry in yml file but available in role file		gds_prod_snc1_db001getaways_torch_prod
gds_prod_snc1_db001	mysql	GDS-265	Non-Core		lb_service_prod	4.1 GB		#N/A	10.30.16.58	gds-snc1-prod-lb-service-rw-vip.snc1		10.30.17.58	gds-snc1-prod-lb-service-ro-vip.snc1					Decommissioned			unable to find instance or GDS ticket for it. Nor any entry in yml file but available in role file		gds_prod_snc1_db001lb_service_prod
gds_prod_snc1_db001	mysql	GDS-1191	Core	availability_engine	booking_avail_prod	12.6 GB		#N/A	10.30.16.65	gds-snc1-prod-booking-avail-rw-vip.snc1	gds-booking-avail-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.65	gds-snc1-prod-booking-avail-ro-vip.snc1	gds-booking-avail-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28668		Migrated					gds_prod_snc1_db001booking_avail_prod
gds_prod_snc1_db001	mysql	GDS-1192	Non-Core		snapshotter_prod	0 GB		#N/A	10.30.16.57	gds-snc1-prod-snapshotter-rw-vip.snc1		10.30.17.57	gds-snc1-prod-snapshotter-ro-vip.snc1			GDS-30866		Decommissioned					gds_prod_snc1_db001snapshotter_prod
gds_prod_snc1_db001	mysql	GDS-340	Core	service-portal	service_portal_prod	14.6 GB		#N/A	10.30.16.39	gds-snc1-prod-service-portal-rw-vip.snc1	gds-service-portal-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.39	gds-snc1-prod-service-portal-ro-vip.snc1	gds-service-portal-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28669		Migrated			Completed and directed to AWS. But can still see entires in yml file		gds_prod_snc1_db001service_portal_prod
gds_prod_snc1_db001	mysql	GDS-854	Core	rocketman_prod	rocketman_prod	4.1GB		#N/A	10.30.16.38	gds-snc1-prod-rocketman-rw-vip.snc1	dedicated	10.30.17.38	gds-snc1-prod-rocketman-ro-vip.snc1			GDS-30863		Decommissioned					gds_prod_snc1_db001rocketman_prod
gds_prod_snc1_db001	mysql	GDS-1107	Core	getaways-geo	getaways_geo_prod	64.2 GB		#N/A	10.30.16.56	gds-snc1-prod-getaways-geo-rw-vip.snc1	gds-getaways-geo-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.56	gds-snc1-prod-getaways-geo-ro-vip.snc1	gds-getaways-geo-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28670		Migrated			Completed and directed to AWS. But can still see entires in yml file		gds_prod_snc1_db001getaways_geo_prod
gds_prod_snc1_db001	mysql	GDS-1191	Core	appointment_engine	booking_appoint_prod	2 GB		#N/A	10.30.16.64	gds-snc1-prod-booking-appoint-rw-vip.snc1	gds-booking-appointment-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.64	gds-snc1-prod-booking-appoint-ro-vip.snc1	gds-booking-appointment-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28715		Migrated					gds_prod_snc1_db001booking_appoint_prod
